",,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals"
"Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF"
"43,UC-Irvine NCAA,36,31,5,.861,6.21,-2.56,15,1,12,2,13,2,2621,2280,,1460,967,2108,.459,247,683,.362,440,627,.702,420,1437,473,208,149,426,661"
"44,UC-Riverside,33,10,23,.303,-10.91,-2.97,4,12,7,7,2,14,2153,2279,,1325,793,1787,.444,279,741,.377,288,421,.684,281,1051,426,164,60,425,561"
"45,UC-Santa Barbara,32,22,10,.688,-1.40,-5.33,10,6,12,3,7,6,2350,2114,,1290,825,1818,.454,204,594,.343,496,693,.716,379,1204,431,159,106,355,559"
"46,University of California,31,8,23,.258,-3.02,5.56,3,15,7,9,1,10,2121,2387,,1245,739,1735,.426,207,592,.350,436,603,.723,249,899,335,227,98,352,573"
"47,Campbell,33,20,13,.606,-3.56,-4.33,12,4,12,4,5,8,2495,2328,,1325,867,1906,.455,313,912,.343,448,591,.758,267,1051,482,218,104,337,522"
"48,Canisius,32,15,17,.469,-8.59,-4.65,11,7,5,8,9,5,2250,2376,,1295,798,1834,.435,256,791,.324,398,575,.692,300,1026,466,204,108,412,626"
"49,Central Arkansas,33,14,19,.424,-11.27,-4.71,8,10,8,5,5,13,2383,2498,,1330,810,1903,.426,276,784,.352,487,667,.730,299,1164,463,202,120,478,611"
"50,Central Connecticut State,31,11,20,.355,-13.80,-6.49,5,13,5,7,5,12,2205,2367,,1260,754,1821,.414,201,612,.328,496,634,.782,332,1107,353,172,110,427,598"
"51,Central Florida NCAA,32,24,8,.750,12.82,4.76,13,5,15,2,5,5,2309,2051,,1285,793,1709,.464,220,610,.361,503,778,.647,308,1181,423,184,145,382,538"
"52,Central Michigan,35,23,12,.657,2.99,-0.13,10,8,13,4,7,6,2896,2690,,1425,991,2177,.455,305,822,.371,609,908,.671,419,1321,467,267,107,425,593"
"53,Charleston Southern,33,18,15,.545,-2.03,-4.07,9,7,12,4,4,10,2507,2296,,1330,901,2091,.431,321,924,.347,384,568,.676,398,1237,474,257,109,427,552"
"54,Charlotte,29,8,21,.276,-8.32,-0.87,5,13,5,9,3,9,1776,1992,,1160,598,1441,.415,191,615,.311,389,524,.742,199,892,288,138,101,418,490"
"55,Chattanooga,32,12,20,.375,-7.66,-0.56,7,11,8,6,4,11,2268,2376,,1285,833,1881,.443,290,795,.365,312,457,.683,278,1096,419,139,79,409,553"
"56,Chicago State,32,3,29,.094,-24.49,1.01,0,16,3,8,0,19,1970,2710,,1280,718,1749,.411,141,468,.301,393,582,.675,249,993,373,193,72,512,625"
"57,Cincinnati NCAA,35,28,7,.800,14.35,5.32,14,4,16,2,7,4,2510,2194,,1410,872,2018,.432,232,673,.345,534,758,.704,442,1264,466,214,155,365,563"
"58,Citadel,30,12,18,.400,-7.79,0.18,4,14,8,7,4,10,2553,2584,,1210,899,2010,.447,370,1076,.344,385,523,.736,322,1107,463,201,110,386,528"
"59,Clemson,33,20,13,.606,14.56,9.32,9,9,14,4,4,6,2284,2111,,1320,818,1803,.454,215,647,.332,433,592,.731,298,1169,404,214,148,439,539"
"60,Cleveland State,31,10,21,.323,-7.88,-1.43,5,13,8,9,2,12,2300,2437,,1250,799,1834,.436,303,820,.370,399,585,.682,303,1094,460,174,97,412,551"
"61,Coastal Carolina,32,16,16,.500,-1.32,-2.42,9,9,10,4,5,10,2445,2337,,1290,824,1844,.447,259,707,.366,538,751,.716,355,1191,422,202,77,453,654"
"62,Colgate NCAA,35,24,11,.686,1.41,-3.65,13,5,15,1,9,9,2648,2458,,1415,955,1995,.479,320,815,.393,418,563,.742,322,1240,541,213,121,456,547"
"63,College of Charleston,33,24,9,.727,2.46,-2.85,12,6,13,2,8,5,2453,2265,,1330,878,1818,.483,227,667,.340,470,615,.764,260,1060,387,216,76,347,486"
"64,Colorado State,32,12,20,.375,0.04,1.56,7,11,8,9,3,8,2393,2406,,1285,866,1818,.476,259,722,.359,402,579,.694,256,1080,472,200,74,372,522"
"65,Colorado,34,22,12,.647,10.07,3.71,10,8,14,2,5,8,2517,2301,,1365,879,1928,.456,220,675,.326,539,718,.751,349,1273,452,174,102,452,586"
"66,Columbia,28,10,18,.357,-4.95,-1.91,5,9,5,7,4,9,2059,2052,,1160,778,1721,.452,237,655,.362,266,378,.704,255,986,443,218,78,366,539"
"67,Connecticut,33,16,17,.485,6.65,4.16,6,12,13,5,1,8,2436,2354,,1325,874,1959,.446,252,732,.344,436,641,.680,380,1167,422,200,145,427,643"
"68,Coppin State,33,8,25,.242,-18.74,-6.96,7,9,3,7,4,16,2118,2507,,1330,710,1827,.389,240,841,.285,458,689,.665,314,1218,326,169,115,555,619"
"69,Cornell,31,15,16,.484,-5.94,-1.83,7,7,9,4,6,12,2149,2211,,1260,754,1707,.442,243,732,.332,398,551,.722,191,1015,453,181,107,414,491"
"70,Creighton,34,20,14,.588,12.70,8.79,9,9,12,6,4,7,2669,2490,,1380,959,1986,.483,363,930,.390,388,568,.683,278,1162,543,231,87,449,568"
"71,Dartmouth,30,11,19,.367,-5.53,-2.78,2,12,8,6,2,12,2160,2116,,1210,791,1748,.453,264,719,.367,314,435,.722,246,1020,415,159,98,361,468"
"72,Davidson,34,24,10,.706,6.46,2.03,14,4,14,2,7,5,2409,2229,,1365,852,1893,.450,312,882,.354,393,525,.749,264,1185,499,175,82,378,539"
"73,Dayton,33,21,12,.636,9.78,3.02,13,5,13,4,7,4,2406,2183,,1335,902,1789,.504,205,617,.332,397,575,.690,261,1145,541,164,81,414,463"
"74,Delaware State,31,6,25,.194,-26.71,-10.02,2,14,3,9,2,15,1956,2371,,1240,695,1963,.354,234,789,.297,332,489,.679,378,1144,333,214,65,435,589"
"75,Delaware,33,17,16,.515,-7.75,-4.66,8,10,9,7,7,8,2352,2380,,1360,830,1808,.459,282,746,.378,410,564,.727,254,1083,425,149,78,378,523"
"76,Denver,30,8,22,.267,-11.66,-2.80,3,13,6,7,1,14,2086,2319,,1205,755,1723,.438,227,622,.365,349,460,.759,275,1041,354,142,78,408,506"
"77,DePaul,31,16,15,.516,6.93,4.77,7,11,13,6,3,8,2406,2339,,1245,866,1846,.469,212,608,.349,462,644,.717,353,1169,457,198,94,428,550"
"78,Detroit Mercy,31,11,20,.355,-6.27,-0.31,8,10,6,6,4,14,2279,2464,,1240,784,1875,.418,294,825,.356,417,581,.718,336,1019,319,238,77,355,528"
"79,Drake,34,24,10,.706,2.68,-0.51,12,6,13,2,7,5,2563,2387,,1385,908,1943,.467,279,773,.361,468,618,.757,279,1214,518,180,130,449,568"
"80,Drexel,32,13,19,.406,-6.88,-2.78,7,11,9,7,3,11,2425,2475,,1280,874,1900,.460,237,669,.354,440,584,.753,312,1126,464,144,62,377,543"
"81,Duke NCAA,35,30,5,.857,27.75,11.60,14,4,15,2,7,2,2924,2359,,1405,1070,2238,.478,255,837,.305,529,768,.689,463,1459,555,328,239,452,553"
"82,Duquesne,32,19,13,.594,0.65,-0.51,10,8,14,4,4,6,2351,2314,,1295,810,1895,.427,271,841,.322,460,663,.694,379,1133,443,250,151,451,580"
"83,East Carolina,31,10,21,.323,-5.69,1.12,3,15,8,9,1,11,2088,2299,,1255,749,1791,.418,155,545,.284,435,638,.682,317,1061,382,223,110,416,622"
"84,East Tennessee State,34,24,10,.706,5.41,-1.59,13,5,13,3,8,6,2707,2371,,1375,1004,2067,.486,274,758,.361,425,635,.669,442,1351,534,252,135,483,603"
"85,Eastern Illinois,32,14,18,.438,-11.65,-4.85,7,11,7,6,5,10,2299,2457,,1310,826,1912,.432,272,735,.370,375,545,.688,347,1147,434,200,120,427,569"
"86,Eastern Kentucky,31,13,18,.419,-7.26,-2.33,6,12,9,5,3,11,2562,2577,,1265,902,2125,.424,272,832,.327,486,683,.712,362,1167,458,317,101,447,661"
"87,Eastern Michigan,32,15,17,.469,0.60,4.64,9,9,11,7,4,10,2203,2213,,1295,818,1822,.449,187,634,.295,380,604,.629,400,1155,369,237,142,442,530"
"88,Eastern Washington,34,16,18,.471,-6.61,-4.01,12,8,9,4,4,13,2460,2527,,1380,876,2040,.429,310,886,.350,398,546,.729,299,1192,467,200,101,401,632"
"89,Elon,32,11,21,.344,-11.35,-3.39,7,11,5,11,6,7,2266,2445,,1290,812,1860,.437,335,942,.356,307,443,.693,265,1080,468,135,59,413,539"
"90,Evansville,32,11,21,.344,-3.73,0.24,5,13,9,7,2,13,2234,2317,,1295,747,1776,.421,264,776,.340,476,660,.721,215,1095,394,185,89,416,601"
"91,Fairfield,31,9,22,.290,-10.05,-6.98,6,12,5,7,3,13,2072,2167,,1240,761,1755,.434,259,740,.350,291,420,.693,273,968,401,202,63,436,612"
"92,Fairleigh Dickinson NCAA,35,21,14,.600,-5.87,-7.02,12,6,13,4,7,9,2620,2515,,1420,921,1939,.475,269,672,.400,509,703,.724,323,1155,486,261,132,477,578"
"93,Florida A&M,31,12,19,.387,-13.48,-8.00,9,7,6,3,6,14,1927,2057,,1245,719,1640,.438,180,489,.368,309,503,.614,288,991,355,226,111,499,580"
"94,Florida Atlantic,33,17,16,.515,-1.37,-1.70,8,10,9,5,6,9,2322,2243,,1335,809,1971,.410,290,895,.324,414,551,.751,366,1296,419,184,93,485,576"
"95,Florida Gulf Coast,32,14,18,.438,-5.00,-1.37,9,7,10,4,4,10,2280,2360,,1280,809,1786,.453,269,724,.372,393,588,.668,272,1064,449,216,133,479,514"
"96,Florida International,32,19,13,.594,-4.02,-1.56,10,8,12,4,5,8,2643,2555,,1280,933,2115,.441,269,878,.306,508,795,.639,347,1150,468,339,146,448,621"
"97,Florida State NCAA,35,28,7,.800,17.88,10.11,13,5,15,1,6,4,2623,2351,,1420,900,2039,.441,258,772,.334,565,758,.745,398,1310,444,246,149,466,669"
"98,Florida NCAA,35,20,15,.571,15.75,11.00,9,9,9,6,5,6,2391,2225,,1415,838,1961,.427,282,846,.333,433,601,.720,370,1172,426,252,131,411,600"
"99,Fordham,32,12,20,.375,-4.87,-2.26,3,15,9,10,3,8,2108,2141,,1295,759,1890,.402,276,831,.332,314,462,.680,305,1082,360,188,108,345,559"
"100,Fresno State,32,23,9,.719,9.15,0.83,13,5,13,4,7,3,2448,2162,,1285,847,1866,.454,342,897,.381,412,572,.720,300,1138,457,228,111,400,591"
"101,Furman,33,25,8,.758,7.68,-1.29,13,5,13,3,11,4,2562,2182,,1340,930,1962,.474,338,935,.361,364,508,.717,326,1170,524,288,137,407,481"
"102,Gardner-Webb NCAA,35,23,12,.657,-2.47,-4.28,11,6,13,0,8,9,2718,2468,,1430,955,1962,.487,281,719,.391,527,741,.711,271,1190,502,238,101,407,561"
"103,George Mason,33,18,15,.545,0.93,0.17,11,7,11,6,6,6,2314,2289,,1330,825,1855,.445,210,637,.330,454,634,.716,323,1166,399,204,95,428,563"
"104,George Washington,33,9,24,.273,-6.51,1.33,4,14,6,11,2,10,2097,2356,,1340,745,1842,.404,196,631,.311,411,600,.685,274,1116,375,170,96,413,526"
"105,Georgetown,33,19,14,.576,7.10,5.61,9,9,13,6,5,6,2625,2576,,1355,894,2017,.443,269,757,.355,568,771,.737,350,1299,541,198,131,443,581"
"106,Georgia Southern,33,21,12,.636,3.83,0.21,12,6,10,4,7,7,2726,2489,,1330,1012,2027,.499,203,631,.322,499,721,.692,316,1186,401,254,131,451,590"
"107,Georgia State NCAA,34,24,10,.706,2.52,0.74,13,5,13,1,7,7,2598,2491,,1360,903,1968,.459,330,859,.384,462,694,.666,273,1110,415,269,158,391,583"
"108,Georgia Tech,32,14,18,.438,7.22,8.44,6,12,11,7,3,9,2091,2130,,1285,755,1714,.440,176,573,.307,405,588,.689,262,1076,433,221,166,459,560"
"109,Georgia,32,11,21,.344,5.32,8.13,2,16,8,9,2,9,2274,2364,,1280,776,1760,.441,210,652,.322,512,726,.705,357,1215,423,185,163,506,565"
"110,Gonzaga NCAA,34,31,3,.912,28.26,4.06,16,0,17,0,9,1,3019,2196,,1360,1096,2061,.532,266,725,.367,561,734,.764,329,1322,616,258,184,353,550"
"111,Grambling,34,17,17,.500,-9.78,-9.39,10,8,11,3,6,12,2426,2336,,1370,834,1846,.452,223,553,.403,535,781,.685,307,1287,420,193,147,536,700"
"112,Grand Canyon,34,20,14,.588,4.12,-1.21,10,6,12,2,5,8,2560,2353,,1370,907,2006,.452,257,777,.331,487,666,.731,350,1238,478,207,75,411,598"
"113,Green Bay,34,18,16,.529,-2.76,0.18,10,8,12,3,5,12,2755,2727,,1370,979,2144,.457,268,780,.344,529,749,.706,326,1229,504,266,136,434,653"
"114,Hampton,32,16,16,.500,-3.92,-5.27,9,7,11,3,5,11,2614,2452,,1310,885,2036,.435,272,780,.349,570,730,.781,340,1235,452,197,113,348,601"
"115,Hartford,33,18,15,.545,-3.73,-4.67,10,6,10,4,8,9,2477,2407,,1345,848,1863,.455,322,846,.381,459,619,.742,278,1050,462,228,69,401,552"
"116,Harvard,30,19,11,.633,1.68,0.41,10,4,9,2,8,8,2145,2096,,1225,758,1656,.458,255,703,.363,374,520,.719,277,1082,359,171,115,474,532"
"117,Hawaii,31,18,13,.581,-1.09,-3.40,9,7,12,5,4,5,2241,2131,,1250,788,1746,.451,266,751,.354,399,576,.693,278,1055,478,156,66,368,556"
"118,High Point,31,16,15,.516,-5.54,-4.30,9,7,9,4,5,8,2115,2105,,1255,763,1719,.444,180,583,.309,409,604,.677,363,1183,404,170,91,406,502"
"119,Hofstra,35,27,8,.771,4.81,-4.39,15,3,15,1,10,6,2919,2553,,1440,998,2055,.486,308,800,.385,615,767,.802,305,1168,492,228,122,342,526"
"120,Holy Cross,33,16,17,.485,-6.24,-3.81,6,12,8,6,6,11,2216,2296,,1335,848,1834,.462,237,670,.354,283,424,.667,220,916,510,241,127,350,481"
"121,Houston Baptist,30,12,18,.400,-9.24,-5.42,8,10,9,4,3,13,2465,2484,,1225,865,1896,.456,200,588,.340,535,793,.675,409,1142,449,234,54,442,593"
"122,Houston NCAA,35,32,3,.914,18.52,3.72,16,2,19,1,10,1,2655,2137,,1400,935,2094,.447,321,900,.357,464,660,.703,434,1442,525,222,158,397,662"
"123,Howard,34,17,17,.500,-12.23,-9.46,10,6,6,8,9,8,2684,2661,,1370,937,2163,.433,244,669,.365,566,780,.726,396,1253,463,198,144,427,652"
"124,Idaho State,30,11,19,.367,-12.97,-4.62,7,13,6,7,5,11,2198,2369,,1200,779,1742,.447,274,752,.364,366,498,.735,275,975,383,154,88,360,497"
"125,Idaho,32,5,27,.156,-18.54,-5.99,2,18,4,11,1,13,2174,2460,,1285,778,1764,.441,251,678,.370,367,507,.724,258,1061,399,130,53,433,581"
"126,Illinois-Chicago,32,16,16,.500,-3.09,-1.93,10,8,12,4,4,12,2391,2385,,1295,865,1881,.460,303,856,.354,358,525,.682,271,1106,478,210,124,457,684"
"127,Illinois State,33,17,16,.515,-1.95,0.36,9,9,12,4,2,10,2257,2314,,1330,813,1887,.431,244,734,.332,387,540,.717,298,1139,421,162,106,417,577"
"128,Illinois,33,12,21,.364,9.26,11.83,7,13,9,6,1,9,2398,2483,,1335,862,2001,.431,259,751,.345,415,591,.702,351,1089,446,244,86,435,696"
"129,Incarnate Word,31,6,25,.194,-18.86,-5.05,1,17,5,9,0,14,2044,2355,,1255,711,1527,.466,174,508,.343,448,553,.810,204,845,354,184,53,504,592"
"130,Indiana State,31,15,16,.484,-2.65,0.70,7,11,9,5,4,9,2146,2218,,1250,757,1719,.440,178,491,.363,454,621,.731,250,1007,342,207,73,410,586"
"131,Indiana,33,18,15,.545,14.57,10.41,8,12,14,5,3,9,2378,2241,,1340,873,1893,.461,199,636,.313,433,658,.658,322,1198,444,213,146,411,563"
"132,Iona NCAA,33,17,16,.515,-4.58,-5.30,12,6,8,3,5,9,2532,2508,,1320,857,1897,.452,297,845,.351,521,699,.745,283,1152,431,223,90,406,566"
"133,Iowa State NCAA,35,23,12,.657,17.96,9.19,9,9,12,4,5,6,2692,2385,,1400,974,2047,.476,294,811,.363,450,615,.732,327,1230,527,247,160,379,517"
"134,Iowa NCAA,34,23,11,.676,14.48,9.74,10,10,14,4,4,6,2663,2502,,1370,891,1947,.458,278,761,.365,603,817,.738,347,1212,534,205,109,415,544"
"135,Purdue-Fort Wayne,33,18,15,.545,-3.30,-3.44,9,7,11,5,6,9,2728,2556,,1330,991,2060,.481,360,949,.379,386,557,.693,271,1140,525,247,158,395,495"
"136,IUPUI,33,16,17,.485,-2.69,-3.02,8,10,11,4,3,13,2507,2429,,1320,891,1969,.453,234,695,.337,491,699,.702,403,1233,471,228,103,462,578"
"137,Jackson State,32,13,19,.406,-14.62,-9.36,10,8,9,4,3,14,1974,2107,,1285,717,1773,.404,155,555,.279,385,607,.634,331,1124,360,210,124,436,643"
"138,Jacksonville State,33,24,9,.727,1.77,-5.30,15,3,11,1,10,7,2574,2283,,1345,953,2064,.462,200,634,.315,468,630,.743,400,1310,451,245,138,440,552"
"139,Jacksonville,32,12,20,.375,-8.13,-4.60,5,11,5,8,6,11,2385,2402,,1285,889,1953,.455,213,645,.330,394,582,.677,330,1163,456,213,166,463,523"
"140,James Madison,33,14,19,.424,-8.41,-3.96,6,12,8,6,4,11,2322,2409,,1350,821,1860,.441,243,671,.362,437,607,.720,345,1123,403,211,101,420,612"
"141,Kansas State NCAA,34,25,9,.735,15.29,9.08,14,4,13,2,7,5,2236,2025,,1360,806,1877,.429,241,721,.334,383,574,.667,320,1134,464,256,76,385,550"
"142,Kansas NCAA,35,26,9,.743,18.62,12.50,12,6,16,0,3,8,2650,2436,,1415,962,2069,.465,254,724,.351,472,673,.701,362,1338,465,239,138,456,592"
"143,Kennesaw State,32,6,26,.188,-16.10,-0.97,3,13,6,8,0,15,2030,2455,,1285,742,1945,.381,136,438,.311,410,590,.695,372,1163,363,185,106,437,525"
"144,Kent State,33,22,11,.667,1.43,0.78,11,7,14,3,8,7,2481,2417,,1330,878,2032,.432,261,775,.337,464,641,.724,412,1185,430,226,119,378,601"
"145,Kentucky NCAA,34,28,6,.824,21.76,9.76,15,3,17,1,8,2,2611,2203,,1365,908,1891,.480,203,561,.362,592,799,.741,398,1316,467,204,168,429,555"
"146,La Salle,31,10,21,.323,-3.45,1.45,8,10,5,9,3,8,2091,2243,,1240,719,1798,.400,259,783,.331,394,512,.770,328,1060,391,230,98,435,630"
"147,Lafayette,30,10,20,.333,-10.99,-4.75,7,11,4,11,6,9,2209,2349,,1220,802,1785,.449,280,736,.380,325,437,.744,233,1001,419,156,125,402,515"
"148,Lamar,33,20,13,.606,-5.89,-7.17,12,6,13,2,6,10,2597,2322,,1340,902,1977,.456,228,665,.343,565,823,.687,446,1281,479,283,96,473,623"
"149,Lehigh,31,20,11,.645,-2.13,-4.26,12,6,11,3,9,8,2479,2413,,1250,856,1773,.483,287,677,.424,480,619,.775,232,1102,468,172,71,418,571"
"150,Liberty NCAA,35,29,6,.829,5.18,-4.54,14,2,16,1,11,3,2596,2142,,1400,945,1929,.490,312,841,.371,394,510,.773,267,1141,521,221,92,383,528"
"151,Lipscomb,33,26,7,.788,8.80,-2.62,14,2,14,3,12,4,2759,2290,,1320,960,1982,.484,291,776,.375,548,727,.754,300,1229,573,248,90,438,572"
"152,Long Beach State,34,15,19,.441,-4.34,-0.21,8,8,9,5,4,12,2545,2584,,1375,877,2031,.432,217,630,.344,574,831,.691,377,1263,399,219,105,479,620"
"153,Long Island University,32,16,16,.500,-8.74,-8.84,9,9,8,5,7,9,2373,2337,,1285,822,1880,.437,277,813,.341,452,643,.703,321,1196,430,218,157,471,610"
"154,Longwood,33,16,17,.485,-8.56,-6.96,5,11,10,5,5,11,2318,2311,,1335,772,1812,.426,320,913,.350,454,618,.735,275,1167,384,202,69,467,605"
"155,Louisiana,32,19,13,.594,-2.05,-1.48,10,8,10,4,7,7,2612,2575,,1290,901,2021,.446,283,814,.348,527,710,.742,363,1141,485,224,125,423,612"
"156,Louisiana-Monroe,34,19,15,.559,1.15,-1.88,9,9,14,2,4,12,2671,2529,,1370,886,1946,.455,341,853,.400,558,713,.783,303,1131,479,197,76,383,526"
"157,Louisiana State NCAA,33,27,6,.818,16.78,8.53,16,2,15,2,9,1,2683,2411,,1355,940,2035,.462,223,694,.321,580,772,.751,440,1287,432,298,144,433,608"
"158,Louisiana Tech,33,20,13,.606,0.96,-2.30,9,9,15,1,4,10,2386,2235,,1335,840,1928,.436,253,756,.335,453,690,.657,368,1204,440,190,115,386,535"
"159,Louisville NCAA,34,20,14,.588,17.61,11.38,10,8,14,4,5,6,2536,2324,,1380,854,1967,.434,294,860,.342,534,687,.777,345,1297,458,149,97,412,591"
"160,Loyola (IL),34,20,14,.588,4.16,0.00,12,6,13,4,5,7,2231,2066,,1360,831,1688,.492,206,564,.365,363,545,.666,190,1013,468,221,78,407,470"
"161,Loyola Marymount,32,21,11,.656,2.84,0.98,8,8,11,4,8,6,2150,2006,,1280,767,1689,.454,149,473,.315,467,626,.746,299,1038,426,232,93,401,572"
"162,Loyola (MD),32,11,21,.344,-8.95,-4.42,7,11,7,5,3,16,2332,2477,,1295,842,1836,.459,210,616,.341,438,617,.710,292,997,448,278,73,444,573"
"163,Maine,32,5,27,.156,-14.89,-3.98,3,13,3,9,2,18,1988,2271,,1310,747,1728,.432,201,647,.311,293,452,.648,280,1015,471,239,93,460,566"
"164,Manhattan,32,11,21,.344,-12.76,-7.20,8,10,4,9,4,11,1833,2011,,1285,651,1606,.405,219,659,.332,312,534,.584,326,1026,360,220,75,487,672"
"165,Marist,31,12,19,.387,-9.29,-7.32,7,11,4,7,6,11,2086,2147,,1250,739,1647,.449,245,675,.363,363,530,.685,241,967,377,172,53,387,583"
"166,Marquette NCAA,34,24,10,.706,15.20,7.38,12,6,16,3,6,4,2629,2363,,1375,893,1969,.454,319,822,.388,524,692,.757,331,1293,456,168,146,467,635"
"167,Marshall,34,20,14,.588,-1.46,-0.29,11,7,13,3,6,10,2725,2765,,1375,957,2172,.441,340,984,.346,471,651,.724,296,1124,490,313,146,425,621"
"168,Maryland-Baltimore County,34,21,13,.618,-5.67,-5.67,11,5,13,4,6,8,2296,2177,,1400,820,1893,.433,261,807,.323,395,572,.691,296,1145,452,268,83,428,578"
"169,Maryland-Eastern Shore,32,7,25,.219,-24.05,-7.75,5,11,5,7,2,17,1833,2291,,1285,666,1705,.391,172,610,.282,329,489,.673,264,990,361,186,70,431,575"
"170,Maryland NCAA,33,23,10,.697,16.33,10.18,13,7,15,3,6,5,2362,2159,,1320,837,1846,.453,238,679,.351,450,604,.745,365,1293,435,142,155,425,513"
"171,Massachusetts-Lowell,32,15,17,.469,-8.07,-6.73,7,9,8,5,5,12,2456,2420,,1290,875,1852,.472,246,721,.341,460,639,.720,293,1115,500,181,85,447,589"
"172,Massachusetts,32,11,21,.344,-2.91,-0.07,4,14,9,8,1,11,2263,2354,,1290,808,1833,.441,256,732,.350,391,574,.681,342,1122,469,154,93,445,643"
"173,McNeese State,31,9,22,.290,-14.32,-6.07,5,13,7,8,2,14,2149,2303,,1245,760,1675,.454,168,547,.307,461,647,.713,310,1054,429,146,97,450,467"
"174,Memphis,36,22,14,.611,10.52,4.91,11,7,17,2,3,7,2882,2680,,1450,1013,2241,.452,260,808,.322,596,835,.714,436,1361,553,288,144,538,738"
"175,Mercer,31,11,20,.355,-2.65,-0.03,6,12,9,6,2,12,2248,2246,,1245,787,1746,.451,228,663,.344,446,648,.688,307,1058,393,207,80,407,557"
"176,Miami (FL),32,14,18,.438,9.69,9.00,5,13,11,5,0,10,2297,2275,,1285,805,1849,.435,268,805,.333,419,570,.735,291,1060,413,212,100,372,465"
"177,Miami (OH),32,15,17,.469,0.96,2.49,7,11,10,5,4,10,2267,2233,,1285,777,1846,.421,269,831,.324,444,626,.709,353,1190,349,193,88,413,581"
"178,Michigan State NCAA,35,29,6,.829,25.01,11.78,16,4,15,1,8,4,2756,2293,,1410,967,1998,.484,287,754,.381,535,706,.758,374,1426,654,181,191,446,593"
"179,Michigan NCAA,35,29,6,.829,22.40,10.37,15,5,17,1,7,4,2467,2046,,1400,901,1996,.451,279,799,.349,386,550,.702,282,1230,490,215,144,310,491"
"180,Middle Tennessee,32,11,21,.344,-6.01,1.52,8,10,9,5,2,11,2141,2313,,1280,778,1858,.419,212,650,.326,373,551,.677,382,1228,353,190,85,512,582"
"181,Milwaukee,31,9,22,.290,-8.81,-2.41,4,14,6,8,3,12,2146,2315,,1245,765,1820,.420,237,692,.342,379,508,.746,288,1095,355,145,94,382,579"
"182,Minnesota NCAA,35,22,13,.629,13.00,11.14,9,11,14,3,2,9,2493,2428,,1405,869,1980,.439,189,581,.325,566,834,.679,397,1295,514,165,139,412,565"
"183,Mississippi State NCAA,34,23,11,.676,16.02,9.14,10,8,14,3,5,5,2628,2394,,1370,936,1981,.472,292,774,.377,464,647,.717,393,1215,479,274,172,451,586"
"184,Mississippi Valley State,32,6,26,.188,-22.53,-7.04,4,14,6,6,0,20,2058,2498,,1285,730,1923,.380,172,554,.310,426,647,.658,378,1165,361,176,70,415,570"
"185,Mississippi NCAA,33,20,13,.606,12.35,8.16,10,8,11,5,6,5,2485,2347,,1325,876,1906,.460,272,760,.358,461,589,.783,322,1128,475,235,118,416,603"
"186,Missouri-Kansas City,32,11,21,.344,-6.32,-1.25,6,10,8,5,3,13,2220,2341,,1290,774,1794,.431,259,728,.356,413,590,.700,261,966,352,232,90,391,647"
"187,Missouri State,32,16,16,.500,-1.04,-0.87,10,8,11,4,5,9,2206,2157,,1285,774,1714,.452,224,649,.345,434,627,.692,270,1000,354,221,127,385,540"
"188,Missouri,32,15,17,.469,8.61,9.17,5,13,9,7,2,8,2150,2168,,1290,758,1764,.430,264,727,.363,370,526,.703,345,1130,354,149,53,448,625"
"189,Monmouth,35,14,21,.400,-10.46,-4.64,10,8,6,6,5,11,2286,2490,,1420,794,1915,.415,168,565,.297,530,772,.687,360,1224,379,237,101,502,697"
"190,Montana State,32,15,17,.469,-7.71,-5.61,11,9,9,4,4,12,2502,2552,,1280,858,1882,.456,306,818,.374,480,651,.737,292,1083,491,169,46,394,567"
"191,Montana NCAA,35,26,9,.743,1.70,-4.85,16,4,12,2,9,5,2665,2397,,1405,973,1979,.492,288,762,.378,431,625,.690,293,1172,508,230,104,416,656"
