",,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals"
"Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF"
"311,Texas-Rio Grande Valley,36,20,16,.556,-1.48,-1.31,9,7,11,8,8,7,2549,2529,,1450,863,2065,.418,196,612,.320,627,901,.696,349,1182,478,333,100,457,744"
"312,Texas-San Antonio,32,17,15,.531,0.74,0.10,11,7,11,4,5,7,2481,2407,,1295,896,2068,.433,294,855,.344,395,536,.737,323,1216,420,213,82,402,581"
"313,Texas Southern,35,22,13,.629,-6.42,-7.57,14,4,10,2,11,10,2814,2734,,1410,973,2155,.452,254,790,.322,614,923,.665,429,1374,536,281,103,540,625"
"314,Texas State,33,24,9,.727,1.97,-2.90,12,6,11,3,10,5,2389,2117,,1330,846,1905,.444,238,723,.329,459,673,.682,395,1249,481,227,82,440,647"
"315,Texas Tech NCAA,33,27,6,.818,21.35,7.50,14,4,17,1,6,3,2411,1954,,1325,865,1827,.473,238,647,.368,443,612,.724,284,1123,447,239,165,407,576"
"316,Texas,33,17,16,.515,15.35,11.54,8,10,13,6,2,8,2343,2217,,1330,826,1904,.434,287,837,.343,404,572,.706,327,1115,422,201,137,362,558"
"317,Toledo,33,25,8,.758,8.36,0.86,13,5,14,2,8,5,2537,2256,,1330,901,1990,.453,325,860,.378,410,531,.772,327,1280,538,171,152,402,517"
"318,Towson,32,10,22,.313,-8.30,-3.43,6,12,5,8,4,8,2170,2294,,1310,810,1860,.435,180,550,.327,370,531,.697,389,1183,318,154,94,390,562"
"319,Troy,30,12,18,.400,-6.11,-1.00,5,13,8,8,4,10,2179,2242,,1210,773,1719,.450,236,704,.335,397,550,.722,277,1021,392,171,135,408,523"
"320,Tulane,31,4,27,.129,-6.97,3.39,0,18,3,12,0,11,2082,2403,,1240,733,1784,.411,213,670,.318,403,585,.689,298,1130,444,147,109,467,535"
"321,Tulsa,32,18,14,.563,4.47,3.69,8,10,14,3,3,8,2296,2271,,1290,776,1732,.448,222,652,.340,522,751,.695,239,1119,430,176,76,404,529"
"322,UCLA,33,17,16,.515,7.33,6.93,9,9,13,5,3,7,2580,2567,,1335,919,2012,.457,256,721,.355,486,768,.633,380,1361,472,194,135,467,563"
"323,Utah State NCAA,35,28,7,.800,12.13,1.04,15,3,14,1,9,4,2753,2349,,1410,959,2037,.471,274,772,.355,559,747,.748,377,1403,596,214,146,449,650"
"324,Utah Valley,34,25,9,.735,3.47,-2.28,12,4,14,1,8,7,2640,2408,,1360,906,1868,.485,277,719,.385,551,757,.728,301,1227,462,195,84,467,600"
"325,Utah,31,17,14,.548,6.28,5.24,11,7,10,5,6,5,2343,2311,,1245,805,1735,.464,298,806,.370,435,616,.706,317,1096,440,144,80,409,549"
"326,Valparaiso,33,15,18,.455,-3.23,-0.84,7,11,8,7,5,8,2205,2187,,1335,802,1783,.450,185,585,.316,416,595,.699,294,1115,431,202,101,439,546"
"327,Vanderbilt,32,9,23,.281,3.66,7.88,0,18,8,10,1,10,2180,2315,,1285,736,1750,.421,230,739,.311,478,710,.673,325,1139,371,154,126,454,568"
"328,Vermont NCAA,34,27,7,.794,5.04,-4.02,14,2,16,2,11,4,2508,2143,,1370,864,1887,.458,273,761,.359,507,678,.748,304,1194,399,188,136,377,568"
"329,Villanova NCAA,35,26,9,.743,15.19,7.90,13,5,13,2,5,6,2593,2338,,1415,864,1961,.441,369,1043,.354,496,684,.725,360,1229,496,187,106,378,565"
"330,Virginia Commonwealth NCAA,33,25,8,.758,12.00,2.90,16,2,16,1,8,4,2344,2044,,1330,820,1872,.438,235,771,.305,469,669,.701,358,1208,450,263,148,458,650"
"331,VMI,32,11,21,.344,-10.28,0.31,4,14,8,7,2,13,2433,2617,,1290,843,1973,.427,323,898,.360,424,581,.730,280,1110,442,217,61,390,541"
"332,Virginia Tech NCAA,33,25,8,.758,19.54,7.57,12,6,14,2,5,5,2434,2039,,1330,844,1780,.474,311,789,.394,435,572,.760,290,1072,501,222,74,374,503"
"333,Virginia NCAA,33,30,3,.909,25.83,9.10,16,2,15,1,10,1,2370,1818,,1325,848,1769,.479,278,685,.406,396,533,.743,295,1147,476,190,125,304,478"
"334,Wagner,30,13,17,.433,-12.74,-7.38,8,10,7,7,6,10,1974,2044,,1205,655,1696,.386,236,773,.305,428,575,.744,378,1095,351,184,108,414,639"
"335,Wake Forest,31,11,20,.355,1.52,8.78,4,14,8,8,1,10,2119,2344,,1250,714,1812,.394,197,640,.308,494,681,.725,399,1174,329,150,77,417,555"
"336,Washington State,32,11,21,.344,-1.53,2.35,4,14,9,7,2,8,2393,2517,,1280,833,1861,.448,301,828,.364,426,564,.755,276,1076,476,165,93,440,554"
"337,Washington NCAA,35,27,8,.771,12.41,6.64,15,3,15,1,7,4,2452,2250,,1405,860,1896,.454,264,751,.352,468,669,.700,329,1105,411,315,199,467,643"
"338,Weber State,33,18,15,.545,-4.17,-5.91,11,9,10,5,5,7,2617,2454,,1330,920,1934,.476,249,684,.364,528,708,.746,220,1177,382,180,140,382,608"
"339,West Virginia,35,15,20,.429,7.55,10.78,4,14,11,6,0,10,2564,2677,,1420,870,2105,.413,259,820,.316,565,826,.684,502,1387,467,218,122,546,695"
"340,Western Carolina,32,7,25,.219,-9.07,0.54,4,14,4,8,3,14,2304,2563,,1295,792,1744,.454,296,800,.370,424,628,.675,303,1135,389,135,53,577,671"
"341,Western Illinois,31,10,21,.323,-9.85,-4.99,4,12,7,6,2,14,2198,2272,,1245,818,1859,.440,241,626,.385,321,440,.730,254,1100,319,165,132,353,488"
"342,Western Kentucky,34,20,14,.588,3.17,1.00,11,7,10,4,6,8,2429,2355,,1380,853,1910,.447,199,608,.327,524,724,.724,338,1256,417,235,174,466,527"
"343,Western Michigan,32,8,24,.250,-6.11,1.63,2,16,5,9,2,14,2246,2439,,1300,774,1822,.425,228,723,.315,470,681,.690,345,1197,373,147,78,490,564"
"344,Wichita State,34,20,14,.588,6.86,5.22,10,8,10,4,5,7,2409,2353,,1365,859,2099,.409,252,814,.310,439,606,.724,425,1290,464,161,114,404,652"
"345,William & Mary,31,14,17,.452,-4.69,-1.99,10,8,9,5,5,11,2321,2385,,1265,841,1773,.474,254,735,.346,385,576,.668,251,1057,529,158,146,390,516"
"346,Winthrop,30,18,12,.600,-2.77,-3.62,10,6,11,3,7,8,2499,2358,,1210,855,1878,.455,372,997,.373,417,565,.738,330,1232,460,134,83,456,534"
"347,Wisconsin NCAA,34,23,11,.676,18.19,11.30,14,6,12,3,8,5,2333,2099,,1385,874,1945,.449,241,672,.359,344,531,.648,283,1197,430,177,140,327,511"
"348,Wofford NCAA,34,30,4,.882,14.07,0.33,18,0,15,1,11,3,2823,2233,,1370,1023,2076,.493,377,902,.418,400,568,.704,356,1202,518,230,103,368,571"
"349,Wright State,35,21,14,.600,3.34,-0.84,13,5,15,2,5,8,2561,2365,,1405,885,2029,.436,281,818,.344,510,692,.737,382,1230,483,214,72,402,545"
"350,Wyoming,32,8,24,.250,-9.60,0.34,4,14,6,10,1,11,2105,2411,,1285,690,1656,.417,248,720,.344,477,660,.723,167,983,331,176,88,450,588"
"351,Xavier,34,19,15,.559,9.82,8.17,9,9,13,5,4,7,2450,2394,,1375,891,1915,.465,240,723,.332,428,623,.687,361,1243,506,186,128,438,529"
"352,Yale NCAA,30,22,8,.733,5.73,-1.03,10,4,11,2,8,5,2427,2202,,1215,893,1812,.493,230,634,.363,411,557,.738,259,1157,503,177,131,392,510"
"353,Youngstown State,32,12,20,.375,-7.68,-1.95,8,10,6,7,5,11,2415,2526,,1305,879,2059,.427,303,893,.339,354,505,.701,418,1209,449,210,115,423,656"
